('Doliprane', 'Antalgique et antipyrétique', 'Comprimé', '500 mg', '123456', 'Sanofi Maroc', '2023-12-31', 'DP202301', 1000, 10.5, 'À conserver à température ambiante', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments', 'Contre-indiqué en cas de problèmes hépatiques graves', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé toutes les 6 heures si nécessaire'),
('Actifed', 'Antihistaminique et décongestionnant', 'Comprimé', '60 mg', '012345', 'GlaxoSmithKline Maroc', '2023-09-30', 'AF202301', 800, 20.0, 'Conserver dans un endroit sec et frais', 'Évitez de prendre avec des boissons alcoolisées', 'Peut interagir avec les inhibiteurs de la MAO', 'Contre-indiqué en cas de troubles cardiaques', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé deux fois par jour'),
('Efferalgan', 'Antalgique et antipyrétique', 'Effervescent', '500 mg', '234567', 'Bristol-Myers Squibb Maroc', '2023-12-31', 'EF202301', 900, 14.5, 'Conserver à température ambiante', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments', 'Contre-indiqué en cas de problèmes hépatiques graves', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé effervescent toutes les 6 heures si nécessaire'),
('Humex', 'Antitussif et expectorant', 'Sirop', '200 mg', '345678', 'Sanofi Maroc', '2023-12-31', 'HM202301', 600, 17.0, 'Conserver à une température inférieure à 25°C', 'Évitez de prendre avec des sédatifs', 'Peut interagir avec les antidépresseurs tricycliques', 'Contre-indiqué en cas d\'asthme sévère', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 10 ml trois fois par jour'),
('Vitamine C', 'Complément alimentaire', 'Comprimé', '500 mg', '456789', 'Roche Maroc', '2024-04-30', 'VC202301', 1000, 8.0, 'Conserver dans un endroit sec et à l\'abri de la lumière', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments anticoagulants', 'Sans contre-indications spécifiques', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé par jour'),
('Euphon', 'Antitussif', 'Sirop', '0.33 g', '567890', 'Sanofi Maroc', '2023-12-31', 'EP202301', 800, 19.0, 'Conserver à une température inférieure à 25°C', 'Évitez de prendre avec des sédatifs', 'Peut interagir avec les antidépresseurs tricycliques', 'Contre-indiqué en cas de bronchopneumopathie chronique obstructive (BPCO)', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 10 ml trois fois par jour'),
('Toplexil', 'Antitussif', 'Sirop', '1 mg', '678901', 'Lundbeck Maroc', '2023-11-30', 'TP202301', 600, 23.0, 'Conserver dans un endroit sec', 'Évitez de prendre avec des boissons alcoolisées', 'Peut interagir avec les médicaments sédatifs', 'Contre-indiqué en cas de maladie hépatique', 'Consultez un médecin avant utilisation pendant la grossesse', 'Prendre 10 ml deux fois par jour'),
('Lactéol Fort', 'Probiotique', 'Sachet', '2 g', '789012', 'Abbott Maroc', '2023-10-15', 'LF202301', 700, 12.0, 'Conserver à une température inférieure à 25°C', 'Dissoudre le contenu dans de l\'eau', 'Peut interagir avec certains médicaments antibiotiques', 'Sans contre-indications spécifiques', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 sachet deux fois par jour'),
('Biocalyptol', 'Antitussif', 'Pastille', '20 mg', '890123', 'Pierre Fabre Maroc', '2023-08-31', 'BC202301', 500, 15.0, 'Conserver à température ambiante', 'Ne pas dépasser la dose recommandée', 'Peut interagir avec certains médicaments anticoagulants', 'Contre-indiqué en cas de maladie cardiaque', 'Sans risque pendant la grossesse et l\'allaitement', 'Sucer 1 pastille toutes les 4 heures si nécessaire'),
('Probiolog Fort', 'Probiotique', 'Capsule', '100 mg', '901234', 'UCB Maroc', '2023-09-30', 'PF202301', 800, 20.0, 'Conserver dans un endroit sec et frais', 'Ne pas utiliser en même temps que les antibiotiques', 'Peut interagir avec certains médicaments immunosuppresseurs', 'Sans contre-indications spécifiques', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 capsule par jour'),
('Primalan', 'Antihistaminique', 'Comprimé', '10 mg', '012345', 'Abbott Maroc', '2024-06-30', 'PL202301', 600, 18.0, 'Conserver dans un endroit sec', 'Évitez de prendre avec des boissons alcoolisées', 'Peut interagir avec les inhibiteurs de la MAO', 'Contre-indiqué en cas de glaucome à angle fermé', 'Sans risque pendant la grossesse et l\'allaitement', 'Prendre 1 comprimé deux fois par jour');
